opportunity_id,round_id,firm_id,lead_contact_id,stage,status,priority_override,allocation_ask_usd_k,soft_circled_usd_k,committed_usd_k,probability_pct,first_contact_date,last_touch_date,next_action,next_action_date,owner,pass_reason,notes,application_status,application_started_on,application_submitted_on,application_deadline,decision_status,decision_next_gate,decision_expected
opp_uncork,round_seed,f_uncork,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_crv,round_seed,f_crv,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_redpoint,round_seed,f_redpoint,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_mayfield,round_seed,f_mayfield,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_felicis,round_seed,f_felicis,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_m12,round_seed,f_m12,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_gv,round_seed,f_gv,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_a16z,round_seed,f_a16z,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Researching,,,,Unknown,Confirm the firm's process,
opp_generalcatalyst,round_seed,f_generalcatalyst,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_lightspeed,round_seed,f_lightspeed,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_index,round_seed,f_index,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_lerer,round_seed,f_lerer,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_primary,round_seed,f_primary,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_boxgroup,round_seed,f_boxgroup,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_nfx,round_seed,f_nfx,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Researching,,,,Unknown,Confirm the firm's process,
opp_conviction,round_seed,f_conviction,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_daybreak,round_seed,f_daybreak,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_forum,round_seed,f_forum,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Researching,,,,Unknown,Confirm the firm's process,
opp_soma,round_seed,f_soma,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_abstract,round_seed,f_abstract,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_haystack,round_seed,f_haystack,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_chapterone,round_seed,f_chapterone,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_xyz,round_seed,f_xyz,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_precursor,round_seed,f_precursor,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_2048,round_seed,f_2048,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_charge,round_seed,f_charge,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_company,round_seed,f_company,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_newark,round_seed,f_newark,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_notation,round_seed,f_notation,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_humancapital,round_seed,f_humancapital,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_foundercollective,round_seed,f_foundercollective,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_svangel,round_seed,f_svangel,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_astar,round_seed,f_astar,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_audacious,round_seed,f_audacious,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_contrary,round_seed,f_contrary,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_inspired,round_seed,f_inspired,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_radical,round_seed,f_radical,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_dcvc,round_seed,f_dcvc,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_lux,round_seed,f_lux,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_villageglobal,round_seed,f_villageglobal,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_hustle,round_seed,f_hustle,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_pioneer,round_seed,f_pioneer,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_alumni,round_seed,f_alumni,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_yc,round_seed,f_yc,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Researching,,,,Unknown,Confirm the firm's process,
opp_techstars,round_seed,f_techstars,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Researching,,,,Unknown,Confirm the firm's process,
opp_neo,round_seed,f_neo,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Researching,,,,Unknown,Confirm the firm's process,
opp_mucker,round_seed,f_mucker,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Researching,,,,Unknown,Confirm the firm's process,
opp_plugplay,round_seed,f_plugplay,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Researching,,,,Unknown,Confirm the firm's process,
opp_alchemist,round_seed,f_alchemist,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Researching,,,,Unknown,Confirm the firm's process,
opp_heavybit,round_seed,f_heavybit,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_bloombergbeta,round_seed,f_bloombergbeta,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_essence,round_seed,f_essence,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_quiet,round_seed,f_quiet,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_8vc,round_seed,f_8vc,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_patron,round_seed,f_patron,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_designer,round_seed,f_designer,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_race,round_seed,f_race,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_array,round_seed,f_array,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_scribble,round_seed,f_scribble,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_basisset,round_seed,f_basisset,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_acrew,round_seed,f_acrew,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_baincv,round_seed,f_baincv,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_battery,round_seed,f_battery,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_canvas,round_seed,f_canvas,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_foundation,round_seed,f_foundation,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_canaan,round_seed,f_canaan,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_sierra,round_seed,f_sierra,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
opp_storm,round_seed,f_storm,,Not Contacted,Active,,,0,0,2,,,"Verify access route, target partner, current fund and conflicts",,,,Seeded as a research target. No outreach or relationship is implied.,Not applicable,,,,Unknown,Confirm the firm's process,
